State    wMAROut	wPCOut		wNPCOut		CNVZ	wALUOut		wMDROut		BCOND     	Time
  0             0	   xxxxxxxx	xxxxxxxx	xxxx	xxxxxxxx	00000082	x	                   0
 10            52	   00000030	00000034	0001	00000000	000000af	0	                 465
  1            52	   00000030	00000034	0001	00000000	000000af	0	                 467
  2            48	   00000030	00000034	0001	00000030	000000af	0	                 469
  3            48	   00000034	00000034	0001	00000000	000000af	0	                 471
  4            48	   00000034	00000038	0001	00000000	000000af	0	                 473
 49            48	   00000034	00000038	0001	00000000	000000af	1	                 475
 50            52	   00000034	00000038	0001	00000034	000000af	1	                 477
  2            52	   00000034	00000030	0001	00000000	000000af	1	                 479
  3            52	   00000030	00000030	0001	00000000	000000af	1	                 481
  4            52	   00000030	00000034	0001	00000000	000000af	1	                 483
 10            52	   00000030	00000034	0001	00000000	000000af	0	                 485
  1            52	   00000030	00000034	0001	00000000	000000af	0	                 487
  2            48	   00000030	00000034	0001	00000030	000000af	0	                 489
  3            48	   00000034	00000034	0001	00000000	000000af	0	                 491
  4            48	   00000034	00000038	0001	00000000	000000af	0	                 493
 49            48	   00000034	00000038	0001	00000000	000000af	1	                 495
 50            52	   00000034	00000038	0001	00000034	000000af	1	                 497
  2            52	   00000034	00000030	0001	00000000	000000af	1	                 499
  3            52	   00000030	00000030	0001	00000000	000000af	1	                 501
  4            52	   00000030	00000034	0001	00000000	000000af	1	                 503
 10            52	   00000030	00000034	0001	00000000	000000af	0	                 505
  1            52	   00000030	00000034	0001	00000000	000000af	0	                 507
  2            48	   00000030	00000034	0001	00000030	000000af	0	                 509
  3            48	   00000034	00000034	0001	00000000	000000af	0	                 511
  4            48	   00000034	00000038	0001	00000000	000000af	0	                 513
 49            48	   00000034	00000038	0001	00000000	000000af	1	                 515
 50            52	   00000034	00000038	0001	00000034	000000af	1	                 517
  2            52	   00000034	00000030	0001	00000000	000000af	1	                 519
  3            52	   00000030	00000030	0001	00000000	000000af	1	                 521
  4            52	   00000030	00000034	0001	00000000	000000af	1	                 523
 10            52	   00000030	00000034	0001	00000000	000000af	0	                 525
  1            52	   00000030	00000034	0001	00000000	000000af	0	                 527
  2            48	   00000030	00000034	0001	00000030	000000af	0	                 529
  3            48	   00000034	00000034	0001	00000000	000000af	0	                 531
  4            48	   00000034	00000038	0001	00000000	000000af	0	                 533
 49            48	   00000034	00000038	0001	00000000	000000af	1	                 535
 50            52	   00000034	00000038	0001	00000034	000000af	1	                 537
  2            52	   00000034	00000030	0001	00000000	000000af	1	                 539
  3            52	   00000030	00000030	0001	00000000	000000af	1	                 541
  4            52	   00000030	00000034	0001	00000000	000000af	1	                 543
 10            52	   00000030	00000034	0001	00000000	000000af	0	                 545
  1            52	   00000030	00000034	0001	00000000	000000af	0	                 547
  2            48	   00000030	00000034	0001	00000030	000000af	0	                 549
  3            48	   00000034	00000034	0001	00000000	000000af	0	                 551
  4            48	   00000034	00000038	0001	00000000	000000af	0	                 553
 49            48	   00000034	00000038	0001	00000000	000000af	1	                 555
 50            52	   00000034	00000038	0001	00000034	000000af	1	                 557
  2            52	   00000034	00000030	0001	00000000	000000af	1	                 559
  3            52	   00000030	00000030	0001	00000000	000000af	1	                 561
  4            52	   00000030	00000034	0001	00000000	000000af	1	                 563
 10            52	   00000030	00000034	0001	00000000	000000af	0	                 565
  1            52	   00000030	00000034	0001	00000000	000000af	0	                 567
  2            48	   00000030	00000034	0001	00000030	000000af	0	                 569
  3            48	   00000034	00000034	0001	00000000	000000af	0	                 571
  4            48	   00000034	00000038	0001	00000000	000000af	0	                 573
 49            48	   00000034	00000038	0001	00000000	000000af	1	                 575
 50            52	   00000034	00000038	0001	00000034	000000af	1	                 577
  2            52	   00000034	00000030	0001	00000000	000000af	1	                 579
  3            52	   00000030	00000030	0001	00000000	000000af	1	                 581
  4            52	   00000030	00000034	0001	00000000	000000af	1	                 583
 10            52	   00000030	00000034	0001	00000000	000000af	0	                 585
  1            52	   00000030	00000034	0001	00000000	000000af	0	                 587
  2            48	   00000030	00000034	0001	00000030	000000af	0	                 589
  3            48	   00000034	00000034	0001	00000000	000000af	0	                 591
  4            48	   00000034	00000038	0001	00000000	000000af	0	                 593
 49            48	   00000034	00000038	0001	00000000	000000af	1	                 595
 50            52	   00000034	00000038	0001	00000034	000000af	1	                 597
  2            52	   00000034	00000030	0001	00000000	000000af	1	                 599
